,Experiment,N/H/S,Gestures,Eye-contact_(lates_ time-value),Misty_stop,Participants_start,Silence_duration
1,2,n,n,,15.8,16.2,0.3999999999999986
2,2,n,n,,69.7,70.3,0.5999999999999943
4,2,n,n,,182.6,183.4,0.8000000000000114
5,2,n,n,,203.5,205.6,2.0999999999999943
6,2,n,n,,288.4,289.2,0.8000000000000114
7,2,n,n,,309.6,312.9,3.2999999999999545
8,2,n,n,,344.8,345.6,0.8000000000000114
9,2,n,n,,361.7,364.6,2.900000000000034
10,2,h,n,,10.9,12.7,1.799999999999999
12,2,h,n,,166.2,167.8,1.6000000000000227
13,2,h,n,,228.1,229.6,1.5
14,2,h,n,,270.8,271.2,0.39999999999997726
15,2,h,n,,346.0,348.1,2.1000000000000227
16,2,s,y,,12.1,13.7,1.5999999999999996
17,3,n,n,,10.8,12.7,1.8999999999999986
18,3,n,n,67,68.1,70.0,1.9000000000000057
19,3,n,n,101.7,112.1,113.3,1.2000000000000028
20,3,n,n,137.9,147.9,150.4,2.5
21,3,n,n,170.7,193.8,195.1,1.299999999999983
22,3,n,n,217.1,226.6,227.8,1.200000000000017
23,3,h,y,,12.0,14.4,2.4000000000000004
24,3,h,y,62.8,75.3,77.0,1.7000000000000028
25,3,h,y,121.1,133.4,134.2,0.799999999999983
26,3,h,y,,198.4,200.9,2.5
27,3,h,y,231.1,238.1,240.1,2.0
29,3,s,n,131.8,136.0,137.4,1.4000000000000057
30,3,s,n,,148.4,150.3,1.9000000000000057
31,3,s,n,253.8,254.6,254.9,0.30000000000001137
32,3,s,n,285.1,286.6,290.4,3.7999999999999545
33,3,s,n,,321.4,324.5,3.1000000000000227
34,3,s,n,,349.5,351.1,1.6000000000000227
35,3,s,n,,392.5,394.6,2.1000000000000227
36,3,s,n,435.2,440.8,441.4,0.5999999999999659
37,4,n,n,,12.1,13.5,1.4000000000000004
38,4,n,n,66.4,70.5,71.5,1.0
39,4,n,n,125.4,132.7,134.9,2.200000000000017
40,4,n,n,163.6,175.1,176.4,1.3000000000000114
41,4,n,n,270,210.8,212.6,1.799999999999983
42,4,n,n,246.5,247.4,248.7,1.299999999999983
43,4,n,n,260.7,260.8,262.8,2.0
44,4,h,n,,11.0,13.0,2.0
45,4,h,n,33.2,41.8,43.2,1.4000000000000057
46,4,h,n,63,71.2,72.0,0.7999999999999972
47,4,h,n,122.1,136.2,137.6,1.4000000000000057
48,4,h,n,212.3,222.3,224.6,2.299999999999983
49,4,s,y,,15.7,15.8,0.10000000000000142
50,4,s,y,128.5,142.0,142.5,0.5
51,4,s,y,201,216.0,217.4,1.4000000000000057
52,4,s,y,238.5,250.3,251.6,1.299999999999983
53,4,s,y,290.4,298.8,299.2,0.39999999999997726
54,5,n,n,,15.7,17.5,1.8000000000000007
55,5,n,n,132,144.7,145.2,0.5
57,5,n,n,326.3,338.2,340.6,2.400000000000034
58,5,n,n,434.9,439.5,441.1,1.6000000000000227
60,5,h,y,97.2,97.5,98.8,1.2999999999999972
61,5,h,y,192.8,199.1,201.8,2.700000000000017
62,5,h,y,266.1,273.4,274.0,0.6000000000000227
64,5,h,y,,426.3,427.9,1.599999999999966
65,5,s,n,,10.9,12.9,2.0
66,5,s,n,131,138.6,140.1,1.5
67,5,s,n,231.5,239.1,240.2,1.0999999999999943
68,5,s,n,323.9,337.2,340.2,3.0
69,5,s,n,381.3,388.4,389.5,1.1000000000000227
70,6,n,n,,10.7,11.1,0.40000000000000036
71,6,n,n,45.8,63.2,64.4,1.2000000000000028
72,6,n,n,,134.3,135.6,1.299999999999983
73,6,n,n,216.8,232.1,233.5,1.4000000000000057
75,6,h,n,,15.7,16.3,0.6000000000000014
76,6,h,n,,115.1,115.9,0.8000000000000114
77,6,h,n,132.9,147.6,149.2,1.5999999999999943
78,6,h,n,,207.9,210.6,2.6999999999999886
79,6,h,n,275.8,286.8,287.2,0.39999999999997726
80,6,s,y,,26.6,27.1,0.5
81,6,s,y,,137.5,138.2,0.6999999999999886
82,6,s,y,167.4,188.8,189.6,0.799999999999983
83,6,s,y,209.3,215.9,217.0,1.0999999999999943
84,7,n,n,,12.1,14.3,2.200000000000001
85,7,n,n,153,160.4,162.0,1.5999999999999943
86,7,n,n,,227.2,229.4,2.200000000000017
87,7,n,n,,285.0,286.2,1.1999999999999886
88,7,n,n,,335.0,337.9,2.8999999999999773
89,7,n,n,,367.7,370.0,2.3000000000000114
90,7,h,y,,208.6,210.6,2.0
92,7,h,y,,346.3,349.1,2.8000000000000114
95,7,s,n,,157.8,160.7,2.8999999999999773
96,7,s,n,,200.6,203.4,2.8000000000000114
97,7,s,n,,230.1,233.7,3.5999999999999943
98,7,s,n,,327.1,329.9,2.7999999999999545
99,7,s,n,,348.4,351.8,3.400000000000034
100,8,n,n,,15.6,17.2,1.5999999999999996
101,8,n,n,115.8,129.4,131.1,1.6999999999999886
102,8,n,n,153.4,163.5,164.2,0.6999999999999886
103,8,n,n,226.9,237.2,239.4,2.200000000000017
104,8,n,n,322.7,329.8,331.2,1.3999999999999773
105,8,h,n,,10.5,10.9,0.40000000000000036
106,8,h,n,,134.2,136.7,2.5
107,8,h,n,,198.6,199.2,0.5999999999999943
108,8,h,n,,281.4,283.3,1.900000000000034
109,8,h,n,326.9,334.9,335.5,0.6000000000000227
110,8,s,y,,11.8,13.3,1.5
111,8,s,y,27.9,34.7,35.2,0.5
112,8,s,y,62.1,62.1,63.9,1.7999999999999972
113,8,s,y,135.2,154.2,154.8,0.6000000000000227
114,8,s,y,173.1,188.2,188.6,0.4000000000000057
115,8,s,y,,232.5,233.7,1.1999999999999886
116,9,n,n,,10.2,11.1,0.9000000000000004
117,9,n,n,,61.7,63.0,1.2999999999999972
118,9,n,n,,140.9,141.2,0.29999999999998295
119,9,n,n,,194.3,194.8,0.5
120,9,n,n,,232.3,232.8,0.5
121,9,h,y,,11.9,13.8,1.9000000000000004
122,9,h,y,49.8,56.9,57.6,0.7000000000000028
123,9,h,y,,111.9,112.4,0.5
124,9,h,y,154.6,168.4,168.6,0.19999999999998863
125,9,h,y,196,199.4,200.5,1.0999999999999943
126,9,s,n,,15.5,16.0,0.5
127,9,s,n,84.2,86.9,88.8,1.8999999999999915
128,9,s,n,98.6,113.6,114.0,0.4000000000000057
129,10,n,n,,11.9,13.0,1.0999999999999996
130,10,n,n,,36.9,38.8,1.8999999999999986
131,10,n,n,,76.4,77.8,1.3999999999999915
132,10,n,n,,136.5,137.8,1.3000000000000114
133,10,n,n,153.7,160.8,162.2,1.3999999999999773
134,10,h,n,,10.7,12.7,2.0
135,10,h,n,,91.2,93.4,2.200000000000003
136,10,h,n,,165.3,167.2,1.8999999999999773
137,10,h,n,,205.8,206.7,0.8999999999999773
138,10,h,n,,256.3,259.3,3.0
139,10,s,y,,15.7,17.7,2.0
140,10,s,y,,132.5,132.8,0.30000000000001137
141,10,s,y,,200.8,202.5,1.6999999999999886
142,10,s,y,260.8,273.6,274.3,0.6999999999999886
143,10,s,y,338.4,339.8,340.1,0.30000000000001137
144,10,s,y,,435.9,438.9,3.0
145,11,n,n,,15.7,17.9,2.1999999999999993
146,11,n,n,,118.4,120.1,1.6999999999999886
147,11,n,n,,156.6,157.7,1.0999999999999943
148,11,n,n,,249.0,252.5,3.5
149,11,n,n,,325.5,328.3,2.8000000000000114
150,11,n,n,,404.2,406.4,2.1999999999999886
151,11,h,y,,11.9,14.4,2.5
152,11,h,y,149.9,163.7,165.7,2.0
153,11,h,y,237.5,247.1,250.7,3.5999999999999943
154,11,h,y,458.2,472.3,473.8,1.5
155,11,h,y,524.7,529.3,530.4,1.1000000000000227
156,11,s,n,,10.8,12.2,1.3999999999999986
157,11,s,n,,134.6,137.7,3.0999999999999943
158,11,s,n,,194.7,195.6,0.9000000000000057
159,11,s,n,,244.2,246.4,2.200000000000017
160,11,s,n,,296.9,298.8,1.900000000000034
161,12,n,n,,10.8,12.7,1.8999999999999986
162,12,n,n,,85.3,88.0,2.700000000000003
163,12,n,n,,144.0,145.7,1.6999999999999886
164,12,n,n,,161.3,165.2,3.8999999999999773
165,12,n,n,,189.1,192.0,2.9000000000000057
166,12,n,n,,212.7,214.4,1.700000000000017
167,12,h,n,,15.5,17.0,1.5
168,12,h,n,,98.5,100.0,1.5
169,12,h,n,,171.1,173.0,1.9000000000000057
170,12,h,n,232.9,233.3,233.5,0.19999999999998863
171,12,h,n,,350.2,350.8,0.6000000000000227
172,12,s,y,,11.8,13.7,1.8999999999999986
173,12,s,y,,54.0,54.9,0.8999999999999986
174,12,s,y,,104.4,106.0,1.5999999999999943
175,12,s,y,208,222.9,224.0,1.0999999999999943
176,12,s,y,250.9,251.3,254.9,3.5999999999999943
177,12,s,y,276.3,276.9,277.4,0.5
178,13,n,n,,12.3,13.5,1.1999999999999993
179,13,n,n,,128.5,129.1,0.5999999999999943
180,13,n,n,,152.3,153.5,1.1999999999999886
181,13,n,n,,220.3,222.7,2.3999999999999773
182,13,n,n,,303.5,304.7,1.1999999999999886
183,13,n,n,,376.2,377.7,1.5
184,13,h,y,,15.6,17.0,1.4000000000000004
185,13,h,y,,109.0,111.7,2.700000000000003
186,13,h,y,,128.9,129.7,0.799999999999983
187,13,h,y,,157.0,157.8,0.8000000000000114
188,13,h,y,,214.2,214.6,0.4000000000000057
189,13,h,y,,305.0,306.0,1.0
191,13,s,n,,10.7,13.6,2.9000000000000004
192,13,s,n,,113.7,114.3,0.5999999999999943
193,13,s,n,,179.7,180.3,0.6000000000000227
194,13,s,n,,257.1,257.9,0.7999999999999545
195,13,s,n,,292.0,292.8,0.8000000000000114
196,13,s,n,,317.1,318.6,1.5
