,Experiment,N/H/S,Gestures,Eye-contact_(lates_ time-value),Misty_stop,Participants_start,Silence_duration
10,2,h,n,,10.9,12.7,1.799999999999999
12,2,h,n,,166.2,167.8,1.6000000000000227
13,2,h,n,,228.1,229.6,1.5
14,2,h,n,,270.8,271.2,0.39999999999997726
15,2,h,n,,346.0,348.1,2.1000000000000227
23,3,h,y,,12.0,14.4,2.4000000000000004
24,3,h,y,62.8,75.3,77.0,1.7000000000000028
25,3,h,y,121.1,133.4,134.2,0.799999999999983
26,3,h,y,,198.4,200.9,2.5
27,3,h,y,231.1,238.1,240.1,2.0
44,4,h,n,,11.0,13.0,2.0
45,4,h,n,33.2,41.8,43.2,1.4000000000000057
46,4,h,n,63,71.2,72.0,0.7999999999999972
47,4,h,n,122.1,136.2,137.6,1.4000000000000057
48,4,h,n,212.3,222.3,224.6,2.299999999999983
60,5,h,y,97.2,97.5,98.8,1.2999999999999972
61,5,h,y,192.8,199.1,201.8,2.700000000000017
62,5,h,y,266.1,273.4,274.0,0.6000000000000227
64,5,h,y,,426.3,427.9,1.599999999999966
75,6,h,n,,15.7,16.3,0.6000000000000014
76,6,h,n,,115.1,115.9,0.8000000000000114
77,6,h,n,132.9,147.6,149.2,1.5999999999999943
78,6,h,n,,207.9,210.6,2.6999999999999886
79,6,h,n,275.8,286.8,287.2,0.39999999999997726
90,7,h,y,,208.6,210.6,2.0
92,7,h,y,,346.3,349.1,2.8000000000000114
105,8,h,n,,10.5,10.9,0.40000000000000036
106,8,h,n,,134.2,136.7,2.5
107,8,h,n,,198.6,199.2,0.5999999999999943
108,8,h,n,,281.4,283.3,1.900000000000034
109,8,h,n,326.9,334.9,335.5,0.6000000000000227
121,9,h,y,,11.9,13.8,1.9000000000000004
122,9,h,y,49.8,56.9,57.6,0.7000000000000028
123,9,h,y,,111.9,112.4,0.5
124,9,h,y,154.6,168.4,168.6,0.19999999999998863
125,9,h,y,196,199.4,200.5,1.0999999999999943
134,10,h,n,,10.7,12.7,2.0
135,10,h,n,,91.2,93.4,2.200000000000003
136,10,h,n,,165.3,167.2,1.8999999999999773
137,10,h,n,,205.8,206.7,0.8999999999999773
138,10,h,n,,256.3,259.3,3.0
151,11,h,y,,11.9,14.4,2.5
152,11,h,y,149.9,163.7,165.7,2.0
153,11,h,y,237.5,247.1,250.7,3.5999999999999943
154,11,h,y,458.2,472.3,473.8,1.5
155,11,h,y,524.7,529.3,530.4,1.1000000000000227
167,12,h,n,,15.5,17.0,1.5
168,12,h,n,,98.5,100.0,1.5
169,12,h,n,,171.1,173.0,1.9000000000000057
170,12,h,n,232.9,233.3,233.5,0.19999999999998863
171,12,h,n,,350.2,350.8,0.6000000000000227
184,13,h,y,,15.6,17.0,1.4000000000000004
185,13,h,y,,109.0,111.7,2.700000000000003
186,13,h,y,,128.9,129.7,0.799999999999983
187,13,h,y,,157.0,157.8,0.8000000000000114
188,13,h,y,,214.2,214.6,0.4000000000000057
189,13,h,y,,305.0,306.0,1.0
