,Experiment,N/H/S,Gestures,Eye-contact_(lates_ time-value),Misty_stop,Participants_start,Silence_duration
16,2,s,y,,12.1,13.7,1.5999999999999996
29,3,s,n,131.8,136.0,137.4,1.4000000000000057
30,3,s,n,,148.4,150.3,1.9000000000000057
31,3,s,n,253.8,254.6,254.9,0.30000000000001137
32,3,s,n,285.1,286.6,290.4,3.7999999999999545
33,3,s,n,,321.4,324.5,3.1000000000000227
34,3,s,n,,349.5,351.1,1.6000000000000227
35,3,s,n,,392.5,394.6,2.1000000000000227
36,3,s,n,435.2,440.8,441.4,0.5999999999999659
49,4,s,y,,15.7,15.8,0.10000000000000142
50,4,s,y,128.5,142.0,142.5,0.5
51,4,s,y,201,216.0,217.4,1.4000000000000057
52,4,s,y,238.5,250.3,251.6,1.299999999999983
53,4,s,y,290.4,298.8,299.2,0.39999999999997726
65,5,s,n,,10.9,12.9,2.0
66,5,s,n,131,138.6,140.1,1.5
67,5,s,n,231.5,239.1,240.2,1.0999999999999943
68,5,s,n,323.9,337.2,340.2,3.0
69,5,s,n,381.3,388.4,389.5,1.1000000000000227
80,6,s,y,,26.6,27.1,0.5
81,6,s,y,,137.5,138.2,0.6999999999999886
82,6,s,y,167.4,188.8,189.6,0.799999999999983
83,6,s,y,209.3,215.9,217.0,1.0999999999999943
95,7,s,n,,157.8,160.7,2.8999999999999773
96,7,s,n,,200.6,203.4,2.8000000000000114
97,7,s,n,,230.1,233.7,3.5999999999999943
98,7,s,n,,327.1,329.9,2.7999999999999545
99,7,s,n,,348.4,351.8,3.400000000000034
110,8,s,y,,11.8,13.3,1.5
111,8,s,y,27.9,34.7,35.2,0.5
112,8,s,y,62.1,62.1,63.9,1.7999999999999972
113,8,s,y,135.2,154.2,154.8,0.6000000000000227
114,8,s,y,173.1,188.2,188.6,0.4000000000000057
115,8,s,y,,232.5,233.7,1.1999999999999886
126,9,s,n,,15.5,16.0,0.5
127,9,s,n,84.2,86.9,88.8,1.8999999999999915
128,9,s,n,98.6,113.6,114.0,0.4000000000000057
139,10,s,y,,15.7,17.7,2.0
140,10,s,y,,132.5,132.8,0.30000000000001137
141,10,s,y,,200.8,202.5,1.6999999999999886
142,10,s,y,260.8,273.6,274.3,0.6999999999999886
143,10,s,y,338.4,339.8,340.1,0.30000000000001137
144,10,s,y,,435.9,438.9,3.0
156,11,s,n,,10.8,12.2,1.3999999999999986
157,11,s,n,,134.6,137.7,3.0999999999999943
158,11,s,n,,194.7,195.6,0.9000000000000057
159,11,s,n,,244.2,246.4,2.200000000000017
160,11,s,n,,296.9,298.8,1.900000000000034
172,12,s,y,,11.8,13.7,1.8999999999999986
173,12,s,y,,54.0,54.9,0.8999999999999986
174,12,s,y,,104.4,106.0,1.5999999999999943
175,12,s,y,208,222.9,224.0,1.0999999999999943
176,12,s,y,250.9,251.3,254.9,3.5999999999999943
177,12,s,y,276.3,276.9,277.4,0.5
191,13,s,n,,10.7,13.6,2.9000000000000004
192,13,s,n,,113.7,114.3,0.5999999999999943
193,13,s,n,,179.7,180.3,0.6000000000000227
194,13,s,n,,257.1,257.9,0.7999999999999545
195,13,s,n,,292.0,292.8,0.8000000000000114
196,13,s,n,,317.1,318.6,1.5
